snapshot,SE-N hydro,SE-S hydro,NO-N hydro,NO-S hydro,FI hydro
2023-01-04 18:00:00,16041626.722295612,5555693.394213665,34641944.44123949,38807708.57690071,1033229.3240676448
2023-01-04 21:00:00,16039688.79929379,5560616.977801326,34653185.19157029,38835771.26884504,1038256.9412929016
2023-01-05 00:00:00,16041291.911635326,5565542.271840427,34665615.41895472,38864438.26472991,1043283.7355202292
2023-01-05 03:00:00,16039580.457702806,5570467.565879528,34678221.98700623,38891658.978691064,1048310.5297475568
2023-01-05 06:00:00,16035879.13176124,5554392.85991863,34689579.03284241,38897498.66083041,1043737.3239748843
2023-01-05 09:00:00,16032177.805819673,5538318.153957731,34700750.44600574,38894095.0261313,1039164.1182022119
2023-01-05 12:00:00,16028476.479878107,5522243.447996832,34713886.903233,38884075.50840188,1034590.9124295395
2023-01-05 15:00:00,16024775.15393654,5506168.742035934,34727768.48781482,38871755.63037344,1030017.706656867
2023-01-05 18:00:00,16021073.827994974,5490094.036075035,34743721.01986414,38864503.37255507,1025444.5008841946
2023-01-05 21:00:00,16017372.502053408,5474019.330114136,34759772.731450215,38867663.6244438,1020871.2951115222
2023-01-06 00:00:00,16013672.480352843,5463040.977536693,34775836.00350349,38877390.99771872,1021132.1444265022
2023-01-06 03:00:00,16009972.458652278,5453265.804657988,34791899.27555676,38895020.04771421,1020816.1538810486
2023-01-06 06:00:00,16006272.436951714,5458192.795480928,34803516.208266824,38892990.71708688,1019751.2804278539
2023-01-06 09:00:00,16002572.415251149,5442135.183267196,34813839.55352956,38904538.65762979,1018480.823170555
2023-01-06 12:00:00,15998872.393550584,5426062.174090136,34826500.247555755,38916947.06960069,1016505.0107114085
2023-01-06 15:00:00,15995172.37185002,5409989.164913076,34838463.42269541,38928900.082519114,1012167.3123078258
2023-01-06 18:00:00,15991472.350149455,5393928.055319043,34853529.782978594,38941491.75644841,1014244.3430715308
2023-01-06 21:00:00,15989007.0698547,5381172.950534497,34869160.578439005,38955354.884602696,1017082.2961963126
2023-01-07 00:00:00,15987624.250071298,5370471.932199391,34884736.38163912,38964840.775841616,1022106.8975598875
2023-01-07 03:00:00,15986345.080362115,5359976.364752494,34900810.59784566,38977437.587518826,1027131.4989234623
2023-01-07 06:00:00,15983691.338572465,5345862.768159926,34913818.67989191,38991608.53901242,1032156.1002870372
2023-01-07 09:00:00,15979991.543243652,5329853.951360299,34921056.180071734,39008288.58628069,1036476.3292379759
2023-01-07 12:00:00,15976291.74791484,5313782.6376084965,34930357.101091884,39022738.2137852,1041500.9306015507
2023-01-07 15:00:00,15972591.952586027,5297711.323856694,34945788.46309554,39039111.4682605,1040643.7949699336
2023-01-07 18:00:00,15968892.157257214,5287164.477577092,34961836.09920714,39057851.483710214,1045668.3963335084
2023-01-07 21:00:00,15976519.360578516,5292093.163825289,34977910.315413676,39091406.880962156,1050692.9976970833
2023-01-08 00:00:00,15988701.632914254,5297023.556766292,34993994.85621654,39126659.584785216,1055716.2298884615
2023-01-08 03:00:00,16001903.764341313,5301953.949707295,35010079.39701941,39162639.86998469,1060739.4620798398
2023-01-08 06:00:00,15998203.117447924,5299354.567785332,35026163.937822275,39184907.55092567,1065762.694271218
2023-01-08 09:00:00,15994502.470554534,5295376.9448799165,35042172.47781393,39203979.833612435,1066085.9185328882
2023-01-08 12:00:00,15990801.823661145,5283321.612304046,35056469.96613728,39221291.246034406,1071109.1507242664
2023-01-08 15:00:00,15987101.176767755,5267252.005245049,35065512.60629482,39235623.04027996,1075960.9889841645
2023-01-08 18:00:00,15983400.529874366,5252003.973902983,35077306.12653542,39250714.31326363,1080835.3657758753
2023-01-08 21:00:00,15979699.882980976,5239370.594388177,35091294.607295886,39267170.66556296,1085858.5979672535
2023-01-09 00:00:00,15975997.306839019,5235529.493773465,35107253.11313195,39286685.75158413,1085176.015172196
2023-01-09 03:00:00,15972294.730697062,5222607.501273562,35122414.24296231,39305074.659429334,1087653.147846193
2023-01-09 06:00:00,15968592.154555105,5225088.399772132,35136579.365274936,39293205.56710031,1087028.7084915391
2023-01-09 09:00:00,15964889.578413147,5209020.523578374,35151764.87124341,39297176.45921793,1082450.390243134
2023-01-09 12:00:00,15961187.00227119,5192952.647384616,35167046.845504604,39297690.991640136,1077872.0719947289
2023-01-09 15:00:00,15957484.426129233,5191917.445325659,35182160.08711723,39280458.50331999,1074416.2523294326
2023-01-09 18:00:00,15953781.849987276,5175849.569131901,35196925.67404714,39275174.78329754,1078288.426176348
2023-01-09 21:00:00,15950079.273845319,5159781.692938142,35211716.34179252,39283461.15418902,1076879.554787908
2023-01-10 00:00:00,15946373.691342479,5163164.102898223,35226637.22488616,39272275.77286323,1080485.495827239
2023-01-10 03:00:00,15942668.108839639,5147097.994882666,35238473.52110722,39282532.47178578,1075905.4463645453
2023-01-10 06:00:00,15938962.526336798,5131031.886867108,35246313.68635362,39277231.13162713,1071325.3969018515
2023-01-10 09:00:00,15935256.943833958,5114965.77885155,35251333.018629946,39277046.65060037,1066745.3474391578
2023-01-10 12:00:00,15931551.361331118,5098899.670835992,35253945.30429325,39276410.25465529,1062165.297976464
2023-01-10 15:00:00,15927845.778828278,5082833.562820435,35257083.889499284,39279024.00422158,1057585.2485137703
2023-01-10 18:00:00,15924140.196325438,5087767.454804877,35260971.707310095,39279477.75623943,1053005.1990510765
2023-01-10 21:00:00,15920874.513305454,5092701.346789319,35268102.88985902,39312801.167421795,1057200.7334072865
2023-01-11 00:00:00,15922784.96915386,5097637.057593112,35281028.03728541,39347767.89633397,1061847.3823694573
2023-01-11 03:00:00,15925634.908313798,5102572.768396905,35293903.59489172,39382567.795560285,1065788.5652744318
2023-01-11 06:00:00,15921925.24322861,5090827.876820709,35309357.10084618,39401227.53820254,1064753.7225886409
2023-01-11 09:00:00,15918215.578143423,5078273.856091743,35321169.014770746,39420585.22459142,1065938.4840459279
2023-01-11 12:00:00,15914505.913058236,5066369.59076149,35329860.1627586,39441057.559763916,1068534.2370475722
2023-01-11 15:00:00,15911190.722952092,5052356.0263719605,35343978.8050053,39460524.484379895,1071336.3286170044
2023-01-11 18:00:00,15908980.308183733,5046800.809166931,35360090.572584905,39480635.645339,1075436.1187825552
2023-01-11 21:00:00,15909319.898798056,5051736.519970723,35372629.10119325,39502202.24771481,1075102.6526190753
2023-01-12 00:00:00,15928432.819031447,5056674.113697959,35384207.85453754,39537548.95213062,1080118.6006765382
2023-01-12 03:00:00,15943658.38946655,5061611.707425195,35393565.64149631,39571520.7261406,1085134.5487340011
